Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,,,
ECO,LSTM,512,0.05,10,32,1111,4,0.858576,0.3306,0.907826,0.2381,0.692527869,0.81176568,0.441874203,None,2,
ECO,LSTM,512,0.05,10,32,22,6,0.890783,0.2527,0.911081,0.2202,0.771063123,0.816964199,0.377835526,None,2,
ECO,LSTM,512,0.05,10,32,333,5,0.906936,0.2402,0.910842,0.2152,0.782452628,0.813230187,0.394654974,None,2,
ECO,LSTM,512,0.05,10,32,4444,4,0.877745,0.2626,0.902652,0.2291,0.786280385,0.826969338,0.440054632,None,2,
ECO,LSTM,512,0.05,10,32,5555,5,0.899177,0.2334,0.931915,0.1801,0.783736772,0.831228823,0.389420782,None,2,
ECO,LSTM,512,0.05,10,32,66666,9,0.885557,0.2612,0.897467,0.233,0.755100904,0.799996852,0.320890002,None,2,
ECO,LSTM,512,0.05,10,32,888888,5,0.899414,0.2521,0.911253,0.2245,0.767457678,0.809657944,0.394515268,None,2,
ECO,LSTM,512,0.05,10,32,4444,6,0.841873,0.3752,0.879782,0.277,0.723749051,0.738768273,0.18709977,3,0,TRUE
ECO,LSTM,512,0.05,10,32,4444,10,0.797175,0.4697,0.871433,0.3065,0.674337395,0.67022945,0.234845411,9,0,TRUE
ECO,LSTM,512,0.05,10,32,4444,9,0.831959,0.4116,0.902276,0.2087,0.719506387,0.871736285,0.279790798,6,0,TRUE
ECO,LSTM,512,0.05,10,32,5555,9,0.830938,0.4133,0.872452,0.3191,0.706958437,0.647924657,0.226233654,9,0,TRUE
ECO,LSTM,512,0.05,10,32,5555,2,0.807783,0.4211,0.847858,0.3053,0.734862821,0.776385032,0.417852236,3,0,TRUE
ECO,LSTM,512,0.05,10,32,5555,9,0.824411,0.4116,0.908809,0.2038,0.710779798,0.881802217,0.201467058,6,0,TRUE
ECO,LSTM,512,0.05,10,32,66666,7,0.799778,0.4712,0.862262,0.3156,0.674200983,0.658283144,0.249236551,9,0,TRUE
ECO,LSTM,512,0.05,10,32,66666,9,0.818678,0.4166,0.892039,0.2305,0.7012312,0.868329166,0.273753176,6,0,TRUE
ECO,LSTM,512,0.05,10,32,66666,4,0.815235,0.3777,0.835938,0.2931,0.725943904,0.775650672,0.357359113,3,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,7,0.822847,0.4176,0.869226,0.3267,0.674824049,0.660279619,0.191304158,9,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,6,0.812136,0.4135,0.913524,0.2016,0.717267602,0.889267141,0.228187913,6,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,8,0.836737,0.3836,0.85951,0.3017,0.709273119,0.7528352,0.393850892,3,0,TRUE
ECO,LSTM,512,0.05,10,32,22,10,0.840474,0.3762,0.879416,0.3255,0.706630161,0.664908342,0.180589935,9,0,TRUE
ECO,LSTM,512,0.05,10,32,22,4,0.835524,0.3695,0.907799,0.2169,0.715278177,0.885356478,0.357271682,6,0,TRUE
ECO,LSTM,512,0.05,10,32,22,8,0.821361,0.3804,0.857085,0.2718,0.724820198,0.767892373,0.228151076,3,0,TRUE
ECO,LSTM,512,0.05,10,32,333,9,0.817758,0.4055,0.822351,0.3196,0.712225394,0.685198544,0.357759485,9,0,TRUE
ECO,LSTM,512,0.05,10,32,333,3,0.820442,0.3862,0.913658,0.2182,0.718853427,0.89211435,0.370653775,6,0,TRUE
ECO,LSTM,512,0.05,10,32,333,6,0.82481,0.391,0.877492,0.2733,0.705336019,0.771619219,0.326204258,3,0,TRUE
ECO,LSTM,512,0.05,10,32,1111,20,0.76418,0.5432,0.794814,0.4338,0.703203961,0.638403698,0.430919713,9,2,FALSE
ECO,LSTM,512,0.05,10,32,1111,24,0.78065,0.5514,0.819302,0.3378,0.731621306,0.703915054,0.408034296,12,2,FALSE
ECO,LSTM,512,0.05,10,32,1111,21,0.811806,0.5931,0.925951,0.2084,0.724236112,0.870929925,0.337802655,15,2,FALSE
ECO,LSTM,512,0.05,10,32,22,23,0.786565,0.5772,0.802762,0.3686,0.739342699,0.695894226,0.396905469,9,2,FALSE
ECO,LSTM,512,0.05,10,32,22,21,0.750588,0.5252,0.772697,0.4525,0.697590756,0.618202677,0.468084433,12,2,FALSE
ECO,LSTM,512,0.05,10,32,22,25,0.808283,0.5657,0.903023,0.2271,0.725468354,0.855879493,0.289094152,15,2,FALSE
