Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,,,,
ROBOD,LSTM,256,0.0005,10,16,0,29,0.741477,159.4491,0.82936,161.3909,0.700912261,0.821005962,,,,
ROBOD,GRU,256,0.0005,10,16,0,29,0.738095,125.0191,0.806841,119.2268,0.695889559,0.798382381,,,,
ROBOD,ConvNet,128,0.005,10,16,0,2,0.863758,48.1053,0.905899,31.4051,0.638198107,0.751755734,,,,
ROBOD,GRU,64,0.001,10,32,0,29,0.852623,24.244,0.90602,15.6107,0.492881992,0.58683496,,,,
ROBOD,ConvNet,128,0.001,10,32,0,10,0.874238,39.6209,0.923084,29.6653,0.635177356,0.761639448,,,,
ROBOD,ConvNet,256,0.0005,10,64,0,23,0.876674,81.5013,0.914837,58.6161,0.774146079,0.898872297,,,,
ROBOD,ConvNet,256,0.01,10,16,0,2,0.87779,79.7372,0.916734,55.6471,0.773603137,0.902065088,,,,
ROBOD,LSTM,64,0.001,10,32,0,29,0.847994,26.6824,0.921415,17.2164,0.498656468,0.586805792,,,,
ROBOD,LSTM,128,0.0005,10,64,0,29,0.828887,61.1482,0.879729,52.434,0.632109253,0.721712003,,,,
ROBOD,GRU,128,0.0005,10,32,0,29,0.782844,55.0619,0.817301,43.8427,0.603254797,0.703143061,,,,
ROBOD,GRU,64,0.005,10,32,0,10,0.883488,19.6471,0.930836,12.3915,0.489640699,0.584892727,,,,
ROBOD,LSTM,64,0.005,10,32,0,14,0.875772,22.2612,0.928309,13.5372,0.475623066,0.56563795,,,,
ROBOD,ConvNet,256,0.005,10,64,0,2,0.877418,81.2288,0.924312,58.6247,0.773238043,0.906916777,,,,
ROBOD,LSTM,256,0.01,10,16,0,29,0.881324,79.073,0.920744,58.2031,0.778353878,0.903069831,,,,
ROBOD,GRU,256,0.01,10,16,0,20,0.87128,86.4544,0.920681,59.2872,0.757217835,0.89811097,,,,
ROBOD,ConvNet,256,0.01,10,16,0,2,0.885603,74.9419,0.924889,58.3209,0.77935231,0.905122548,,,,
ROBOD,LSTM,256,0.01,10,32,0,23,0.876302,82.0928,0.92311,53.6266,0.770984464,0.907462536,,,,
ROBOD,GRU,256,0.01,10,32,0,16,0.886719,81.3747,0.927074,55.0324,0.7816918,0.909238458,,,,
ROBOD,ConvNet,256,0.01,10,32,0,2,0.87779,73.3143,0.914955,55.7586,0.772168191,0.896875203,,,,
ROBOD,LSTM,256,0.01,10,64,0,27,0.876674,73.5019,0.92862,52.1967,0.77103366,0.910262015,,,,
ROBOD,GRU,256,0.01,10,64,0,16,0.891183,75.1205,0.927592,53.4767,0.7846674,0.909190046,,,,
ROBOD,ConvNet,256,0.01,10,64,0,2,0.887463,66.1868,0.923862,55.801,0.777485588,0.90178487,,,,
ROBOD,LSTM,128,0.01,10,16,0,10,0.869474,47.4135,0.922008,30.0982,0.63224727,0.760631986,,,,
ROBOD,GRU,128,0.01,10,16,0,16,0.879954,44.9883,0.923375,25.6147,0.62928453,0.749478728,,,,
ROBOD,ConvNet,128,0.01,10,16,0,2,0.886623,38.318,0.910483,27.8269,0.662014835,0.72791294,,,,
ROBOD,LSTM,128,0.01,10,32,0,16,0.877668,41.3285,0.922552,24.9976,0.637994551,0.759226313,,,,
ROBOD,GRU,128,0.01,10,32,0,10,0.884337,39.9142,0.928152,26.4116,0.632975244,0.771970296,,,,
ROBOD,ConvNet,128,0.01,10,32,0,2,0.886814,36.9122,0.905561,29.8746,0.645048402,0.734356312,,,,
ROBOD,LSTM,128,0.01,10,64,0,16,0.877477,43.1723,0.91549,27.012,0.630594902,0.752558813,,,,
ROBOD,GRU,128,0.01,10,64,0,8,0.889101,36.3683,0.926313,25.7591,0.631120978,0.766523573,,,,
ROBOD,ConvNet,128,0.01,10,64,0,1,0.874619,45.2344,0.913567,30.5497,0.655184474,0.756078823,,,,
ROBOD,LSTM,64,0.01,10,16,0,10,0.874228,21.6809,0.934283,12.8249,0.492383106,0.585092916,,,,
ROBOD,GRU,64,0.01,10,16,0,8,0.879823,19.3271,0.919118,13.4563,0.484559153,0.559883452,,,,
ROBOD,ConvNet,64,0.01,10,16,0,1,0.878665,20.4179,0.91705,14.0614,0.519012934,0.578341046,,,,
ROBOD,LSTM,64,0.01,10,32,0,8,0.870949,20.0301,0.92739,12.1815,0.494642363,0.582482865,,,,
ROBOD,GRU,64,0.01,10,32,0,8,0.882523,22.1385,0.921186,12.378,0.494332187,0.55786706,,,,
ROBOD,ConvNet,64,0.01,10,32,0,1,0.874035,21.7974,0.918658,14.8875,0.516055791,0.572284226,,,,
ROBOD,LSTM,64,0.01,10,64,0,8,0.870563,21.0382,0.92693,12.418,0.496048768,0.577095896,,,,
ROBOD,ConvNet,512,0.01,10,64,0,2,0.88157,171.6737,0.91422,109.8949,0.753276181,0.897860478,,,,
ROBOD,ConvNet,512,0.01,10,128,0,2,0.893999,137.7019,0.928117,97.5048,0.766452377,0.915504581,,,,
ROBOD,ConvNet,512,0.005,10,64,0,8,0.88157,146.7436,0.916616,111.8993,0.752525724,0.900511445,,,,
ROBOD,ConvNet,512,0.005,10,128,0,2,0.882812,168.1758,0.923662,111.5913,0.754393234,0.9089562,,,,
ROBOD,ConvNet,512,0.001,10,64,0,14,0.883523,166.2683,0.924751,112.3133,0.754850546,0.90923525,,,,
ROBOD,ConvNet,512,0.001,10,128,0,14,0.888139,155.6433,0.925181,113.1488,0.759603958,0.909754169,,,,
ROBOD,ConvNet,512,0.0005,10,64,0,14,0.87571,182.8757,0.890948,132.1286,0.749013265,0.877836268,,,,
ROBOD,ConvNet,512,0.0005,10,128,0,14,0.876243,179.0299,0.905105,121.184,0.749052096,0.890322016,,,,
ROBOD,ConvNet,512,0.01,10,64,0,2,0.888139,0.3135,0.926049,0.2328,0.760319654,0.911466236,0.268560263,,,
ROBOD,ConvNet,512,0.01,10,128,0,2,0.886009,0.284,0.918884,0.2434,0.756734842,0.901227617,0.24846002,,,
ROBOD,ConvNet,512,0.005,10,64,0,8,0.888317,0.2852,0.920415,0.2466,0.760403612,0.905428989,0.207544628,,,
ROBOD,ConvNet,512,0.005,10,128,0,8,0.891513,0.287,0.917696,0.2437,0.762446551,0.902667652,0.188041828,,,
ROBOD,ConvNet,512,0.001,10,64,0,14,0.882102,0.3278,0.923228,0.2465,0.754265733,0.908141898,0.256816491,,,
ROBOD,ConvNet,512,0.001,10,128,0,14,0.889027,0.2999,0.925075,0.2406,0.760453404,0.909514092,0.237557952,,,
ROBOD,ConvNet,512,0.0005,10,64,0,14,0.87571,0.3944,0.888795,0.2953,0.748195187,0.873873875,0.32839875,,,
ROBOD,ConvNet,512,0.0005,10,128,0,14,0.882102,0.3625,0.909114,0.2685,0.755030915,0.893595071,0.288621909,,,
ROBOD,GRU,256,0.001,10,64,0,29,0.823289,0.4226,0.872089,0.2998,0.73704003,0.857049038,0.350873407,,,
ROBOD,GRU,256,0.001,10,64,0,44,0.817522,0.4282,0.859934,0.2959,0.731448552,0.846656246,0.345760743,,,
ROBOD,GRU,256,0.001,10,128,0,29,0.751826,0.444,0.829017,0.3183,0.704845842,0.819491623,0.367060915,,,
ROBOD,GRU,256,0.001,10,128,0,44,0.821987,0.425,0.875996,0.2969,0.734922831,0.859124892,0.343027255,,,
ROBOD,GRU,512,0.001,10,64,0,29,0.828125,0.432,0.842614,0.345,0.709539522,0.840506141,0.378610606,,,
ROBOD,GRU,512,0.001,10,64,0,44,0.728984,0.4609,0.816462,0.345,0.681713359,0.814482789,0.377179553,,,
ROBOD,GRU,512,0.001,10,128,0,29,0.835938,0.4404,0.89088,0.3468,0.714116543,0.878373788,0.393567582,,,
ROBOD,GRU,256,0.05,10,64,0,8,0.887277,0.2812,0.925524,0.2118,0.777842098,0.908103285,0.201116496,,,
ROBOD,GRU,256,0.05,10,64,0,8,0.87872,0.3558,0.925178,0.2039,0.775510846,0.908389973,0.218717955,,,
ROBOD,GRU,256,0.05,10,128,0,8,0.882068,0.3518,0.924087,0.2036,0.778301985,0.906786874,0.227597109,,,
ROBOD,LSTM,256,0.05,10,32,0,10,0.754204,0.4231,0.878208,0.3319,0.379345219,0.852501549,0.223583232,,,
ROBOD,LSTM,256,0.01,10,32,0,7,0.775396,0.389,0.875374,0.3284,0.395716468,0.852246309,0.262092128,,,
ROBOD,LSTM,256,0.01,10,32,0,20,0.728504,0.4749,0.759873,0.5237,0.412739347,0.71554028,0.651927616,,,
ROBOD,LSTM,256,0.02,10,32,0,50,0.768673,0.3841,0.789324,0.49,0.407413132,0.725236524,0.556310662,,,
ROBOD,Naive,128,0.01,10,32,0,1,0.851181,2.3908,0.860524,2.246,0.576560964,0.636633582,3.705820125,,,
ROBOD,LSTM,256,0.02,10,32,0,50,0.768673,0.3841,0.789324,0.49,0.407413132,0.725236524,0.556310662,,,
ROBOD,LSTM,256,0.02,10,32,0,50,0.768673,0.3841,0.789324,0.49,0.407413132,0.725236524,0.556310662,,,
ROBOD,LSTM,256,0.05,10,32,0,10,0.754204,0.4231,0.878208,0.3319,0.379345219,0.852501549,0.223583232,,,
ROBOD,LSTM,256,0.05,10,32,0,25,0.759739,0.4213,0.83424,0.3815,0.421558207,0.793718875,0.344802889,,,
ROBOD,LSTM,256,0.05,10,32,0,50,0.691622,0.5661,0.849837,0.3571,0.415604294,0.810432533,0.240430406,,,
