Dataset,Model,BatchSize,StartingLr,N_days,HiddenSize,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TrainLoss,Train_days,Num_frozen,Type
ECO,LSTM,512,0.05,10,32,4444,6,0.841873,0.3752,0.879782,0.277,0.723749051,0.738768273,0.18709977,3,0,Transfer
ECO,LSTM,512,0.05,10,32,4444,10,0.797175,0.4697,0.871433,0.3065,0.674337395,0.67022945,0.234845411,9,0,Transfer
ECO,LSTM,512,0.05,10,32,4444,9,0.831959,0.4116,0.902276,0.2087,0.719506387,0.871736285,0.279790798,6,0,Transfer
ECO,LSTM,512,0.05,10,32,5555,9,0.830938,0.4133,0.872452,0.3191,0.706958437,0.647924657,0.226233654,9,0,Transfer
ECO,LSTM,512,0.05,10,32,5555,2,0.807783,0.4211,0.847858,0.3053,0.734862821,0.776385032,0.417852236,3,0,Transfer
ECO,LSTM,512,0.05,10,32,5555,9,0.824411,0.4116,0.908809,0.2038,0.710779798,0.881802217,0.201467058,6,0,Transfer
ECO,LSTM,512,0.05,10,32,66666,7,0.799778,0.4712,0.862262,0.3156,0.674200983,0.658283144,0.249236551,9,0,Transfer
ECO,LSTM,512,0.05,10,32,66666,9,0.818678,0.4166,0.892039,0.2305,0.7012312,0.868329166,0.273753176,6,0,Transfer
ECO,LSTM,512,0.05,10,32,66666,4,0.815235,0.3777,0.835938,0.2931,0.725943904,0.775650672,0.357359113,3,0,Transfer
ECO,LSTM,512,0.05,10,32,1111,7,0.822847,0.4176,0.869226,0.3267,0.674824049,0.660279619,0.191304158,9,0,Transfer
ECO,LSTM,512,0.05,10,32,1111,6,0.812136,0.4135,0.913524,0.2016,0.717267602,0.889267141,0.228187913,6,0,Transfer
ECO,LSTM,512,0.05,10,32,1111,8,0.836737,0.3836,0.85951,0.3017,0.709273119,0.7528352,0.393850892,3,0,Transfer
ECO,LSTM,512,0.05,10,32,22,10,0.840474,0.3762,0.879416,0.3255,0.706630161,0.664908342,0.180589935,9,0,Transfer
ECO,LSTM,512,0.05,10,32,22,4,0.835524,0.3695,0.907799,0.2169,0.715278177,0.885356478,0.357271682,6,0,Transfer
ECO,LSTM,512,0.05,10,32,22,8,0.821361,0.3804,0.857085,0.2718,0.724820198,0.767892373,0.228151076,3,0,Transfer
ECO,LSTM,512,0.05,10,32,333,9,0.817758,0.4055,0.822351,0.3196,0.712225394,0.685198544,0.357759485,9,0,Transfer
ECO,LSTM,512,0.05,10,32,333,3,0.820442,0.3862,0.913658,0.2182,0.718853427,0.89211435,0.370653775,6,0,Transfer
ECO,LSTM,512,0.05,10,32,333,6,0.82481,0.391,0.877492,0.2733,0.705336019,0.771619219,0.326204258,3,0,Transfer
ECO,LSTM,512,0.05,15,32,5555,3,0.869378,0.3006,0.956861,0.1234,0.697732615,0.894921793,0.349271419,15,0,Transfer
ECO,LSTM,512,0.05,15,32,1111,1,0.858922,0.3074,0.961447,0.1029,0.724737219,0.908993155,0.378704951,15,0,Transfer
ECO,LSTM,512,0.05,15,32,1111,10,0.876667,0.2861,0.960062,0.1262,0.697088252,0.707477043,0.321710134,12,0,Transfer
ECO,LSTM,512,0.05,15,32,5555,8,0.869622,0.3076,0.962958,0.1257,0.691464638,0.709428958,0.300981871,12,0,Transfer
ECO,LSTM,512,0.05,15,32,66666,4,0.876415,0.2902,0.966287,0.1118,0.711511547,0.902001837,0.347307458,15,0,Transfer
ECO,LSTM,512,0.05,15,32,22,8,0.872556,0.2968,0.931301,0.1498,0.692359203,0.872512805,0.302516143,15,0,Transfer
ECO,LSTM,512,0.05,15,32,22,7,0.867508,0.3078,0.951239,0.1398,0.688570911,0.706009482,0.335695183,12,0,Transfer
ECO,LSTM,512,0.05,15,32,66666,10,0.872977,0.3023,0.959254,0.133,0.690202693,0.706294432,0.297250364,12,0,Transfer
ECO,LSTM,512,0.05,15,32,77777,10,0.877827,0.2905,0.950153,0.1298,0.695308232,0.886753076,0.28963493,15,0,Transfer
ECO,LSTM,512,0.05,15,32,333,1,0.866691,0.2985,0.947181,0.1347,0.707102068,0.889164529,0.370928055,15,0,Transfer
ECO,LSTM,512,0.05,15,32,77777,10,0.874063,0.2978,0.959119,0.1319,0.693366351,0.705553596,0.294460075,12,0,Transfer
ECO,LSTM,512,0.05,15,32,333,10,0.874629,0.2903,0.957974,0.1332,0.69468642,0.705065934,0.318390853,12,0,Transfer
ECO,LSTM,512,0.05,31,32,5555,1,0.413344,0.6972,0.928797,0.6582,0.422978635,0.929297028,0.693589193,2,0,No Transfer
ECO,LSTM,512,0.05,31,32,333,1,0.391591,0.6959,0.928694,0.6693,0.390202371,0.929245513,0.6904674,2,0,No Transfer
ECO,LSTM,512,0.05,31,32,1111,1,0.405713,0.7017,0.195792,0.7025,0.425554178,0.190382107,0.692429032,2,0,No Transfer
ECO,LSTM,512,0.05,31,32,66666,10,0.288337,0.7198,0.374545,0.7166,0.271921994,0.361639375,0.684406212,2,0,No Transfer
ECO,LSTM,512,0.05,31,32,4444,10,0.643787,0.6687,0.576515,0.6762,0.675312549,0.594520541,0.664054206,2,0,No Transfer
ECO,LSTM,512,0.05,31,32,22,1,0.352887,0.7078,0.317041,0.6979,0.362235788,0.351406516,0.691062382,2,0,No Transfer
ECO,LSTM,512,0.05,31,32,333,2,0.52479,0.6334,0.660156,0.5259,0.557713747,0.679460301,0.535343562,2,0,Transfer
ECO,LSTM,512,0.05,31,32,1111,6,0.600668,0.58,0.644257,0.5121,0.636256731,0.673109063,0.492722882,2,0,Transfer
ECO,LSTM,512,0.05,31,32,5555,6,0.525125,0.643,0.634217,0.5512,0.558734725,0.660477163,0.485646095,2,0,Transfer
ECO,LSTM,512,0.05,31,32,66666,10,0.682131,0.5225,0.75884,0.4667,0.712289237,0.776250086,0.468506485,2,0,Transfer
ECO,LSTM,512,0.05,31,32,22,5,0.702017,0.5467,0.789508,0.4413,0.738377384,0.797666048,0.487125201,2,0,Transfer
ECO,LSTM,512,0.05,31,32,4444,2,0.673507,0.5585,0.68099,0.4991,0.715669259,0.698996381,0.549791532,2,0,Transfer
ECO,LSTM,512,0.05,31,32,5555,1,0.309406,0.7047,0.418579,0.6975,0.342073653,0.467801361,0.685634376,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,333,5,0.079145,0.7431,0.108176,0.726,0,0,0.67823676,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,1111,1,0.565851,0.6925,0.891824,0.6644,0.633559802,0.89314874,0.691547505,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,77777,1,0.803868,0.6587,0.891824,0.6475,0.821966668,0.89314874,0.690660766,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,66666,1,0.279774,0.7017,0.848856,0.6793,0.301380845,0.866925253,0.693249825,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,4444,1,0.152844,0.7177,0.52078,0.6915,0.109491063,0.54351811,0.698602757,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,22,1,0.079159,0.7212,0.112904,0.7146,2.76E-05,0.009481456,0.68719815,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,888888,1,0.643954,0.6917,0.890968,0.673,0.705705196,0.892700966,0.693327002,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,5555,4,0.785466,0.4294,0.746402,0.4807,0.808088289,0.745047913,0.530633529,1,0,Transfer
ECO,LSTM,512,0.05,31,32,333,1,0.773938,0.4453,0.865029,0.4853,0.794918332,0.877857513,1.243998693,1,0,Transfer
ECO,LSTM,512,0.05,31,32,1111,1,0.787694,0.4267,0.856428,0.496,0.809141453,0.873064061,1.233700838,1,0,Transfer
ECO,LSTM,512,0.05,31,32,9999999,1,0.189002,0.7188,0.319437,0.7021,0.16281401,0.287144939,0.692425806,1,0,No Transfer
ECO,LSTM,512,0.05,31,32,4444,3,0.78622,0.4322,0.795504,0.4411,0.808663568,0.813892779,0.516827139,1,0,Transfer
ECO,LSTM,512,0.05,31,32,66666,3,0.793219,0.4228,0.795265,0.4385,0.814077002,0.806840103,0.52401527,1,0,Transfer
ECO,LSTM,512,0.05,31,32,22,2,0.790236,0.4245,0.79105,0.4629,0.811545104,0.814993049,0.625385877,1,0,Transfer
ECO,LSTM,512,0.05,31,32,77777,1,0.831838,0.3865,0.862939,0.4866,0.843823239,0.876748434,1.246618445,1,0,Transfer
