Dataset,Model,|BatchSize,Lr,N_past,Hidden_size,Seed,BestEpoch,TestAcc,TestLoss,ValAcc,ValLoss,TestF1,ValF1,TestLoss,Train_days,Num_frozen,Type
ROBOD,LSTM,256,0.02,10,32,1111,4,0.779542,0.5103,0.723027,0.5958,0.480204306,0.619227296,0.123623123,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,22,2,0.810498,0.4199,0.712328,0.5974,0.4682046,0.583786479,0.21201597,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,333,1,0.813435,0.4373,0.707283,0.6671,0.458962833,0.620800615,0.312437984,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,4444,2,0.784376,0.4607,0.704555,0.6173,0.475832157,0.605104398,0.202674347,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,5555,4,0.763,0.5985,0.719664,0.6441,0.482486514,0.62913244,0.130608401,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,66666,5,0.757968,0.5499,0.720829,0.5646,0.492821092,0.650363817,0.134489932,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,77777,1,0.802883,0.4238,0.726814,0.5747,0.473008431,0.64673756,0.304923569,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,888888,3,0.769014,0.5207,0.743247,0.5356,0.496639801,0.687593572,0.154306113,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,999999999,6,0.763331,0.5995,0.709627,0.5853,0.494532211,0.622194068,0.128431793,1,0,Transfer
ROBOD,LSTM,256,0.02,10,32,1111,2,0.783306,0.485,0.756833,0.5381,0.515773158,0.696421088,0.2550884,2,0,Transfer
ROBOD,LSTM,256,0.02,10,32,22,2,0.758361,0.5357,0.774563,0.5973,0.509706396,0.726306188,0.240877959,2,0,Transfer
ROBOD,LSTM,256,0.02,10,32,333,2,0.809827,0.3699,0.736772,0.5238,0.433494112,0.654468102,0.270648664,2,0,Transfer
ROBOD,LSTM,256,0.02,10,32,4444,4,0.774465,0.4577,0.732865,0.5392,0.478505014,0.653772597,0.185142782,2,0,Transfer
ROBOD,LSTM,256,0.02,10,32,5555,1,0.813665,0.3812,0.796438,0.5022,0.397225049,0.747432051,0.462322677,2,0,Transfer
